bin_start_um,bin_end_um,bin_center_um,density
10.0,12.207663565192385,11.103831782596192,0.0
12.207663565192385,14.902704972092568,13.555184268642478,0.0
14.902704972092568,18.192720851062585,16.547712911577577,0.002541387130324584
18.192720851062585,22.209061548523252,20.20089119979292,0.0024981558019709737
22.209061548523252,27.11207514830225,24.660568348412752,0.0040927664636727775
27.11207514830225,33.097509196468735,30.104792172385494,0.012013557235181164
33.097509196468735,40.40432571163513,36.75091745405193,0.010069856710511658
40.40432571163513,49.32424148660942,44.864283599122274,0.008811217472059492
49.32424148660942,60.213374567683246,54.768808027146335,0.004760660421447527
60.213374567683246,73.50646188471886,66.85991822620105,0.0018869666197097905
73.50646188471886,89.73421565562852,81.62033877017369,0.0005152409958528249
89.73421565562852,109.54451150103326,99.63936357833089,0.0001688254244889012
109.54451150103326,133.7282541817962,121.63638284141473,0.0
133.7282541817962,163.25095362118998,148.48960390149307,0.0
163.25095362118998,199.2912718504313,181.27111273581062,0.0
199.2912718504313,243.2880798229361,221.2896758366837,0.0
243.2880798229361,296.9979027900074,270.14299130647174,9.340418811475948e-05
296.9979027900074,362.56504768281235,329.78147523640985,7.651274759986185e-05
362.56504768281235,442.6072122609708,402.5861299718916,0.000835679950180607
442.6072122609708,540.3199938809626,491.46360307096666,0.0012493102393714053
540.3199938809626,659.6044702845601,599.9622320827614,0.0019065745688013151
659.6044702845601,805.2229459330847,732.4137081088224,0.001067985322303469
805.2229459330847,982.9890818924198,894.1060139127522,0.0002916160865126848
982.9890818924198,1199.9999999999995,1091.4945409462098,6.93521199547176e-05
